code,common_name
CRRA,California Ridgway's Rail
CASJ,California Scrub-Jay
CSOW,California Spotted Owl
CATH,California Thrasher
CALT,California Towhee
CAHU,Calliope Hummingbird
CANG,Canada Goose
CAJA,Canada Jay
CAWA,Canada Warbler
CAKW,Canebrake Wren
CAEM,Canivet's Emerald
CANV,Canvasback
CANT,Canyon Towhee
CANW,Canyon Wren
CMWA,Cape May Warbler
CSSS,Cape Sable Seaside-Sparrow
CVSH,Cape Verde Shearwater
CAHE,Capped Heron
CAGR,Carib Grackle
CADO,Caribbean Dove
CAEL,Caribbean Elaenia
CAMA,Caribbean Martin
CATA,Carmiol's Tanager
CACH,Carolina Chickadee
CAPA,Carolina Parakeet
CARW,Carolina Wren
CATE,Caspian Tern
CACR,Cassia Crossbill
CAAU,Cassin's Auklet
CAFI,Cassin's Finch
CAKI,Cassin's Kingbird
CASP,Cassin's Sparrow
CAVI,Cassin's Vireo
CATY,Cattle Tyrant
CASW,Cave Swallow
CAYT,Cayenne Tern
CEDW,Cedar Waxwing
CAPO,Central American Pygmy-Owl
CERW,Cerulean Warbler
CHAS,Chapman's Swift
CHHU,Charming Hummingbird
CHAL,Chatham Albatross
CTST,Checker-throated Stipplethroat
CHMU,Chestnut Munia
CBAN,Chestnut-backed Antbird
CBCH,Chestnut-backed Chickadee
CBCU,Chestnut-bellied Cuckoo
CBSA,Chestnut-bellied Sandgrouse
CCBR,Chestnut-capped Brushfinch
CCAW,Chestnut-capped Warbler
CCLO,Chestnut-collared Longspur
CCSW,Chestnut-collared Swift
CCOW,Chestnut-colored Woodpecker
CFMA,Chestnut-fronted Macaw
CHOR,Chestnut-headed Oropendola
CSSV,Chestnut-sided Shrike-Vireo
CSWA,Chestnut-sided Warbler
CHME,Chihuahuan Meadowlark
CHRA,Chihuahuan Raven
CHSW,Chimney Swift
CHEG,Chinese Egret
CHPH,Chinese Pond-Heron
CHIS,Chinese Sparrowhawk
CHSP,Chipping Sparrow
CHFG,Chiriqui Foliage-gleaner
CHQD,Chiriqui Quail-Dove
CHSO,Choco Screech-Owl
CHSI,Choco Sirystes
CHTA,Choco Tapaculo
CHTI,Choco Tinamou
CHSH,Christmas Shearwater
CWWI,Chuck-will's-widow
CHUK,Chukar
CIRB,Cinereous Becard
CIOW,Cinereous Owl
CIMB,Cinnamon Becard
CIHU,Cinnamon Hummingbird
CITE,Cinnamon Teal
CIWO,Cinnamon Woodpecker
CBFL,Cinnamon-bellied Flowerpiercer
CIBS,Cinnamon-bellied Saltator
CRSE,Cinnamon-rumped Seedeater
CTSP,Cinnamon-tailed Sparrow
CITR,Citreoline Trogon
CIWA,Citrine Wagtail
CLRA,Clapper Rail
CLWR,Clarion Wren
CLGR,Clark's Grebe
CLNU,Clark's Nutcracker
CCSP,Clay-colored Sparrow
CCTH,Clay-colored Thrush
CLSW,Cliff Swallow
COCT,Cocoa Thrush
COWO,Cocoa Woodcreeper
COHE,Cocoi Heron
COBO,Cocos Booby
COCC,Cocos Cuckoo
COFI,Cocos Finch
COFL,Cocos Flycatcher
COSP,Coiba Spinetail
CPYO,Colima Pygmy-Owl
COLW,Colima Warbler
COAR,Collared Aracari
COFF,Collared Forest-Falcon
COPL,Collared Plover
COPR,Collared Pratincole
COLR,Collared Redstart
COTO,Collared Towhee
COTR,Collared Trogon
COLC,Colombian Crake
CODU,Comb Duck
COBH,Common Black Hawk
CCHA,Common Chaffinch
CCHI,Common Chiffchaff
COCL,Common Chlorospingus
CCRA,Common Crane
COCU,Common Cuckoo
COEI,Common Eider
COGA,Common Gallinule
COGO,Common Goldeneye
COGR,Common Grackle
COMG,Common Greenshank
CGDO,Common Ground Dove
COGU,Common Gull
COHO,Common Hoopoe
COLO,Common Loon
COME,Common Merganser
COMO,Common Moorhen
COMU,Common Murre
COMY,Common Myna
CONI,Common Nighthawk
COPA,Common Pauraque
COMP,Common Pochard
COPO,Common Poorwill
CPOT,Common Potoo
CORA,Common Raven
CREH,Common Redshank
CRET,Common Redstart
CRPL,Common Ringed Plover
CORO,Common Rosefinch
COSA,Common Sandpiper
COSC,Common Scoter
COMS,Common Shelduck
COSN,Common Snipe
CSCU,Common Squirrel Cuckoo
COSW,Common Swift
COTE,Common Tern
COTF,Common Tody-Flycatcher
COMW,Common Waxbill
CWPI,Common Wood Pigeon
COYE,Common Yellowthroat
CONW,Connecticut Warbler
COPE,Cook's Petrel
COHA,Cooper's Hawk
CHEM,Coppery-headed Emerald
CORC,Corn Crake
CORS,Cory's Shearwater
CRBR,Costa Rican Brushfinch
CRPO,Costa Rican Pygmy-Owl
CRSW,Costa Rican Swift
CRWA,Costa Rican Warbler
COHU,Costa's Hummingbird
COKI,Couch's Kingbird
COEM,Cozumel Emerald
COZT,Cozumel Thrasher
COVI,Cozumel Vireo
COWR,Cozumel Wren
CRHA,Crane Hawk
CRMU,Craveri's Murrelet
CCWA,Crescent-chested Warbler
CRAU,Crested Auklet
CRBO,Crested Bobwhite
CRCA,Crested Caracara
CREA,Crested Eagle
CRGU,Crested Guan
CROR,Crested Oropendola
CROW,Crested Owl
